Ticker,RSI14,MACD>Signal,VWAP,LastPx,Px_vs_VWAP,SMA100,Gap%,Guidance,MarketOpen
AMD,70.13,True,,252.92,Unknown,165.6316,3.56,HOLD,False
ASTS,50.68,False,,73.7,Unknown,52.5028,3.18,HOLD,False
BBAI,44.05,False,,7.05,Unknown,6.2418,4.75,HOLD,False
META,60.38,True,,738.36,Unknown,732.4837,0.38,HOLD,False
MSFT,43.28,True,,523.61,Unknown,506.2344,0.43,HOLD,False
MSTR,26.38,False,,289.08,Unknown,362.2883,1.93,HOLD,False
MSTU,21.83,False,,3.55,Unknown,6.558,4.36,HOLD,False
NVDA,50.83,False,,186.26,Unknown,171.1591,0.92,HOLD,False
PLTR,56.28,False,,184.63,Unknown,160.6581,1.33,HOLD,False
QQQ,55.57,True,,617.1,Unknown,571.6571,0.89,HOLD,False
RDDT,56.02,True,,214.2,Unknown,190.3987,2.59,HOLD,False
RKLB,60.12,False,,64.56,Unknown,45.6801,1.95,HOLD,False
UUUU,60.3,False,,21.37,Unknown,11.4853,2.35,HOLD,False
VST,50.61,False,,201.47,Unknown,195.2219,2.73,HOLD,False
