Ticker,RSI14,MACD>Signal,VWAP,LastPx,Px_vs_VWAP,SMA100,Gap%,Guidance
AMD,36.13,False,154.9844,157.48,Above,141.5013,-5.15,HOLD
ASTS,29.97,False,41.403,41.58,Above,40.7761,1.8,HOLD
BBAI,76.17,True,6.2359,6.27,Above,5.2675,3.65,HOLD
META,64.93,True,782.6632,780.99,Below,703.6408,0.65,TRIM
MSFT,48.8,True,509.282,509.15,Below,487.0797,0.29,TRIM
MSTR,56.05,True,350.0004,350.21,Above,381.9212,1.87,HOLD
MSTU,52.92,True,5.6089,5.63,Above,7.6487,3.39,HOLD
NVDA,45.07,False,175.7152,176.3346,Above,156.2986,2.17,HOLD
PLTR,71.88,True,175.4913,176.75,Above,145.6438,1.15,HOLD
QQQ,70.49,True,596.2048,596.34,Above,545.9494,0.83,HOLD
RDDT,75.36,True,276.7042,271.4,Below,163.3191,2.07,TRIM
RKLB,48.8,False,48.0135,47.65,Below,36.8505,1.75,TRIM
UUUU,68.33,True,13.974,14.12,Above,7.7383,1.92,HOLD
VST,61.32,True,211.3364,210.17,Below,181.6744,2.4,TRIM
