Ticker,RSI14,MACD>Signal,VWAP,LastPx,Px_vs_VWAP,SMA100,Gap%,Guidance,MarketOpen
AMD,91.59,True,225.6848,231.3574,Above,151.3523,0.68,HOLD,True
ASTS,88.49,True,84.4863,81.29,Below,45.439,13.46,TRIM,True
BBAI,58.7,True,7.2721,7.175,Below,5.7954,1.28,TRIM,True
META,22.68,False,715.3853,718.595,Above,723.014,0.05,HOLD,True
MSFT,63.82,True,524.9587,524.025,Below,499.1481,-0.13,TRIM,True
MSTR,43.14,True,327.8497,328.7,Above,372.9935,2.2,HOLD,True
MSTU,40.37,True,4.7337,4.745,Above,7.095,3.23,HOLD,True
NVDA,68.4,True,188.3665,188.46,Above,165.3832,0.83,HOLD,True
PLTR,55.94,False,182.7078,182.91,Above,154.2178,0.35,HOLD,True
QQQ,67.09,True,608.7448,610.2915,Above,561.3187,0.15,HOLD,True
RDDT,16.99,False,199.4368,201.555,Above,178.901,0.15,HOLD,True
RKLB,78.01,True,66.0542,64.1227,Below,40.9764,4.29,TRIM,True
UUUU,72.97,True,18.086,17.86,Below,9.4067,2.33,TRIM,True
VST,45.59,False,203.3511,204.97,Above,190.4257,0.98,HOLD,True
